epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,265.685,0.56001,0.81984,0.94744,0.70837,0.58484,0.63297,0.36699,1.5366,1.47739,1.61928,0.0037135,0.0037135,0.0037135
129,267.709,0.56094,0.78882,0.94075,0.71255,0.58167,0.63274,0.36861,1.53693,1.46801,1.61592,0.003664,0.003664,0.003664
130,269.703,0.60806,0.83732,0.96826,0.74416,0.552,0.63115,0.37152,1.52848,1.4861,1.60517,0.0036145,0.0036145,0.0036145
131,271.716,0.5813,0.79287,0.94241,0.70524,0.57012,0.62994,0.36157,1.5406,1.48463,1.62677,0.003565,0.003565,0.003565
132,273.721,0.57698,0.81234,0.9408,0.63728,0.61727,0.62197,0.36167,1.52135,1.4923,1.59761,0.0035155,0.0035155,0.0035155
133,275.843,0.50719,0.74926,0.90087,0.66517,0.58219,0.62526,0.36341,1.53048,1.45903,1.63481,0.003466,0.003466,0.003466
134,278.046,0.56425,0.77542,0.93506,0.6649,0.60213,0.63022,0.36936,1.50378,1.49655,1.60729,0.0034165,0.0034165,0.0034165
135,280.108,0.55109,0.81152,0.90467,0.74633,0.53092,0.62726,0.36227,1.54307,1.48999,1.63091,0.003367,0.003367,0.003367
136,282.07,0.52853,0.79655,0.94117,0.66563,0.61494,0.63953,0.36987,1.51434,1.50313,1.59549,0.0033175,0.0033175,0.0033175
137,284.039,0.57177,0.84608,0.92172,0.7093,0.59327,0.6523,0.36981,1.55709,1.43026,1.63697,0.003268,0.003268,0.003268
138,286.057,0.56492,0.7666,0.93117,0.70926,0.5851,0.65976,0.37807,1.52098,1.42962,1.60202,0.0032185,0.0032185,0.0032185
139,288.087,0.55921,0.75812,0.91937,0.70926,0.5851,0.65976,0.37807,1.52098,1.42962,1.60202,0.003169,0.003169,0.003169
140,290.139,0.53635,0.77229,0.92486,0.64284,0.62715,0.6602,0.37057,1.55369,1.42394,1.63807,0.0031195,0.0031195,0.0031195
141,292.174,0.55609,0.74531,0.88485,0.65304,0.65944,0.67127,0.38945,1.50855,1.41722,1.58978,0.00307,0.00307,0.00307
142,294.342,0.52488,0.81059,0.94774,0.71484,0.6154,0.67855,0.38323,1.54357,1.39588,1.62554,0.0030205,0.0030205,0.0030205
143,296.382,0.52051,0.74384,0.924,0.68449,0.6346,0.67835,0.3882,1.50311,1.42157,1.58503,0.002971,0.002971,0.002971
144,298.346,0.50604,0.73463,0.91412,0.6713,0.63629,0.67475,0.38498,1.5241,1.42031,1.59972,0.0029215,0.0029215,0.0029215
145,300.36,0.49951,0.76305,0.93888,0.72299,0.60781,0.66155,0.38196,1.54369,1.41048,1.62324,0.002872,0.002872,0.002872
146,302.463,0.54741,0.80985,0.94527,0.6941,0.60337,0.67165,0.39567,1.50125,1.3898,1.5857,0.0028225,0.0028225,0.0028225
147,304.505,0.4722,0.74449,0.9005,0.66204,0.64444,0.67541,0.39113,1.49457,1.35834,1.58997,0.002773,0.002773,0.002773
148,306.497,0.49264,0.73361,0.91031,0.65919,0.63358,0.66437,0.38009,1.53217,1.37294,1.63022,0.0027235,0.0027235,0.0027235
149,308.477,0.52075,0.72432,0.91423,0.72082,0.56699,0.66285,0.38142,1.51686,1.36383,1.61781,0.002674,0.002674,0.002674
150,310.524,0.50628,0.73449,0.91861,0.70582,0.59366,0.66441,0.37945,1.53085,1.3619,1.61755,0.0026245,0.0026245,0.0026245
151,312.489,0.47278,0.7132,0.90269,0.75748,0.55414,0.65847,0.38089,1.52593,1.38082,1.62554,0.002575,0.002575,0.002575
152,314.497,0.50491,0.74593,0.91083,0.73734,0.59896,0.66784,0.3818,1.51441,1.37442,1.61905,0.0025255,0.0025255,0.0025255
153,316.455,0.51961,0.73671,0.9157,0.74128,0.57511,0.64421,0.37552,1.55173,1.38424,1.65646,0.002476,0.002476,0.002476
154,318.563,0.47433,0.70408,0.89595,0.75028,0.55007,0.63769,0.37093,1.56842,1.40926,1.6684,0.0024265,0.0024265,0.0024265
155,320.587,0.4854,0.7508,0.91103,0.75028,0.55007,0.63769,0.37093,1.56842,1.40926,1.6684,0.002377,0.002377,0.002377
156,322.596,0.4773,0.70314,0.88668,0.7552,0.57192,0.65354,0.37497,1.54991,1.42302,1.63709,0.0023275,0.0023275,0.0023275
157,324.678,0.4579,0.7107,0.90077,0.72853,0.58473,0.65858,0.37214,1.52908,1.4414,1.62501,0.002278,0.002278,0.002278
158,326.705,0.47851,0.73856,0.90688,0.73415,0.57437,0.65491,0.37068,1.53813,1.4515,1.62894,0.0022285,0.0022285,0.0022285
159,328.667,0.46918,0.70096,0.87916,0.69956,0.6057,0.66017,0.37626,1.5312,1.43529,1.63043,0.002179,0.002179,0.002179
160,330.675,0.48685,0.72054,0.88123,0.68846,0.62317,0.67206,0.3877,1.53504,1.44164,1.64055,0.0021295,0.0021295,0.0021295
161,332.63,0.48436,0.70483,0.90262,0.68877,0.61556,0.67059,0.38591,1.52555,1.44903,1.63324,0.00208,0.00208,0.00208
162,334.654,0.48082,0.6848,0.9085,0.68009,0.61794,0.66789,0.3841,1.54724,1.42618,1.64868,0.0020305,0.0020305,0.0020305
163,336.707,0.47902,0.73224,0.90013,0.65706,0.64998,0.66561,0.38156,1.53521,1.41774,1.62857,0.001981,0.001981,0.001981
